donation_id,donor_id,campaign_id,donation_date,amount,method,status
DON00097,D0986,CAMP013,2025-03-06,1564.24,Online,Failed
DON00098,D0563,CAMP005,2021-03-24,3624.05,Cash,Refunded
DON00099,D0433,CAMP018,2023-07-30,2178.27,Cash,Failed
DON00100,D0923,CAMP003,2021-02-23,852.14,Cash,Completed
DON00101,D0900,CAMP019,2021-08-08,349.5,Credit Card,Refunded
DON00102,D0413,CAMP019,2022-04-08,2043.45,Credit Card,Failed
DON00103,D0234,CAMP007,2020-10-01,3478.4,Online,Failed
DON00104,D0284,CAMP004,2020-09-19,1043.59,Cash,Refunded
DON00105,D0185,CAMP014,2021-07-27,2175.29,Check,Failed
DON00106,D0508,CAMP024,2020-09-01,3882.31,Online,Failed
DON00107,D0830,CAMP005,2021-09-28,2106.23,Credit Card,Refunded
DON00108,D0865,CAMP007,2022-12-11,4686.31,Credit Card,Completed
DON00109,D0637,CAMP002,2023-03-20,921.65,Cash,Refunded
DON00110,D0424,CAMP014,2024-10-04,2761.89,Cash,Completed
DON00111,D0854,CAMP025,2021-08-21,4974.36,Check,Refunded
DON00112,D0849,CAMP001,2020-10-18,1994.06,Check,Completed
DON00113,D0304,CAMP018,2021-05-03,138.76,Online,Completed
DON00114,D0622,CAMP005,2022-06-21,3196.09,Online,Failed
DON00115,D0831,CAMP017,2023-05-22,1991.59,Online,Failed
DON00116,D0791,CAMP009,2021-09-20,3294.3,Credit Card,Refunded
DON00117,D0887,CAMP005,2021-07-27,457.5,Credit Card,Refunded
DON00118,D0630,CAMP021,2023-09-12,4582.05,Cash,Failed
DON00119,D0644,CAMP010,2022-09-16,4812.55,Credit Card,Completed
DON00120,D0798,CAMP015,2024-01-30,3722.43,Check,Completed
DON00121,D0033,CAMP023,2021-09-10,3441.16,Cash,Refunded
DON00122,D0385,CAMP014,2022-08-12,4022.79,Cash,Failed
DON00123,D0330,CAMP006,2020-06-14,3304.14,Cash,Refunded
DON00124,D0198,CAMP013,2025-04-24,67.9,Credit Card,Refunded
DON00125,D0611,CAMP023,2024-09-20,3484.79,Check,Failed
DON00126,D0762,CAMP024,2020-07-14,2595.05,Check,Failed
DON00127,D0053,CAMP023,2024-08-05,4118.41,Online,Failed
DON00128,D0459,CAMP001,2024-12-11,1826.44,Online,Failed
DON00129,D0126,CAMP008,2024-08-13,698.43,Cash,Completed
DON00130,D0311,CAMP002,2021-06-17,422.95,Cash,Completed
DON00131,D0843,CAMP002,2022-06-21,4268.59,Online,Refunded
DON00132,D0979,CAMP019,2021-01-15,1921.95,Cash,Completed
DON00133,D0759,CAMP006,2020-12-24,1967.13,Cash,Failed
DON00134,D0871,CAMP019,2024-09-13,4805.22,Check,Failed
DON00135,D0396,CAMP013,2021-11-16,4576.67,Online,Failed
DON00136,D0462,CAMP010,2021-02-07,46.96,Credit Card,Completed
DON00137,D0257,CAMP006,2020-06-21,1462.92,Credit Card,Refunded
DON00138,D0205,CAMP005,2021-07-20,4058.15,Credit Card,Failed
DON00139,D0512,CAMP021,2021-01-08,1232.73,Credit Card,Completed
DON00140,D0251,CAMP015,2024-12-05,587.23,Online,Failed
DON00141,D0804,CAMP023,2021-10-29,3754.84,Credit Card,Completed
DON00142,D0821,CAMP022,2024-02-22,2432.12,Online,Failed
DON00143,D0385,CAMP009,2024-03-05,728.13,Cash,Refunded
DON00144,D0513,CAMP008,2021-02-04,1012.36,Online,Completed
DON00145,D0091,CAMP008,2022-06-07,4406.51,Online,Failed
DON00146,D0898,CAMP001,2020-10-16,4499.39,Credit Card,Failed
DON00147,D0022,CAMP004,2022-09-09,1124.45,Check,Failed
DON00148,D0667,CAMP001,2021-12-15,2440.48,Credit Card,Completed
DON00149,D0332,CAMP021,2020-06-05,3254.48,Online,Failed
DON00150,D0457,CAMP001,2023-07-05,1360.51,Credit Card,Refunded
DON00151,D0332,CAMP002,2021-08-20,4019.41,Check,Refunded
DON00152,D0997,CAMP022,2024-03-09,1889.03,Online,Failed
DON00153,D0117,CAMP017,2023-02-17,1673.92,Online,Failed
DON00154,D0239,CAMP008,2022-05-26,3844.39,Check,Refunded
DON00155,D0627,CAMP016,2021-03-15,1975.97,Check,Refunded
DON00156,D0102,CAMP012,2024-12-09,2532.27,Check,Completed
DON00157,D0741,CAMP019,2023-11-04,549.14,Online,Completed
DON00158,D0634,CAMP009,2024-09-28,1028.09,Cash,Failed
DON00159,D0540,CAMP025,2022-05-27,3755.2,Online,Completed
DON00160,D0882,CAMP008,2022-02-17,1353.46,Credit Card,Failed
DON00161,D0675,CAMP007,2021-02-22,603.4,Cash,Refunded
DON00162,D0904,CAMP003,2024-05-14,2911.76,Credit Card,Failed
DON00163,D0374,CAMP019,2024-10-02,3367.88,Check,Refunded
DON00164,D0214,CAMP003,2022-05-28,4030.39,Check,Failed
DON00165,D0359,CAMP004,2021-12-03,2539.24,Online,Failed
DON00166,D0662,CAMP012,2021-06-22,469.77,Cash,Refunded
DON00167,D0358,CAMP004,2021-02-17,747.28,Credit Card,Refunded
DON00168,D0638,CAMP016,2024-01-28,675.91,Credit Card,Completed
DON00169,D0017,CAMP019,2023-12-10,1201.78,Credit Card,Completed
DON00170,D0277,CAMP021,2023-06-29,2338.02,Cash,Refunded
DON00171,D0936,CAMP008,2020-12-20,3548.43,Online,Completed
DON00172,D0196,CAMP020,2024-08-28,3502.88,Online,Completed
DON00173,D0399,CAMP022,2020-09-22,3545.05,Cash,Refunded
DON00174,D0999,CAMP004,2020-12-17,3406.3,Cash,Completed
DON00175,D0142,CAMP018,2021-03-03,2174.64,Check,Failed
DON00176,D0094,CAMP005,2023-08-03,439.33,Online,Failed
DON00177,D0725,CAMP024,2022-10-03,1618.45,Credit Card,Completed
DON00178,D0797,CAMP002,2020-11-08,3022.97,Online,Refunded
DON00179,D0372,CAMP022,2024-12-04,4118.16,Online,Refunded
DON00180,D0857,CAMP025,2022-11-29,2790.3,Cash,Failed
DON00181,D0554,CAMP023,2022-09-28,1677.69,Cash,Failed
DON00182,D0624,CAMP001,2021-09-16,563.14,Cash,Refunded
DON00183,D0083,CAMP015,2023-07-01,2097.43,Online,Refunded
DON00184,D0977,CAMP023,2023-01-19,1268.33,Credit Card,Refunded
DON00185,D0462,CAMP010,2023-09-04,499.02,Cash,Failed
DON00186,D0944,CAMP022,2024-11-10,2631.66,Credit Card,Failed
DON00187,D0199,CAMP017,2021-09-24,89.49,Check,Completed
DON00188,D0094,CAMP016,2020-09-13,967.25,Online,Refunded
DON00189,D0771,CAMP015,2022-12-26,1613.7,Check,Failed
DON00190,D0693,CAMP018,2023-02-23,750.57,Online,Failed
DON00191,D0348,CAMP015,2020-11-28,2216.63,Credit Card,Refunded
DON00192,D0525,CAMP005,2021-04-01,3872.67,Cash,Completed
DON00193,D0447,CAMP020,2022-07-25,4796.43,Check,Completed
DON00194,D0265,CAMP016,2024-09-09,3315.72,Credit Card,Refunded
DON00195,D0171,CAMP015,2025-03-02,2911.45,Check,Completed
DON00196,D0130,CAMP002,2020-11-19,4358.32,Check,Refunded
DON00197,D0691,CAMP005,2025-05-22,2889.03,Credit Card,Completed
DON00198,D0586,CAMP005,2024-09-01,4295.29,Check,Refunded
DON00199,D0152,CAMP007,2023-03-12,2283.47,Online,Refunded
DON00200,D0275,CAMP018,2025-02-01,3030.14,Credit Card,Completed
DON00201,D0446,CAMP025,2023-04-16,2402.04,Online,Failed
DON00202,D0895,CAMP005,2023-07-26,2390.22,Cash,Refunded
DON00203,D0935,CAMP015,2024-12-02,3865.43,Credit Card,Completed
DON00204,D0104,CAMP020,2024-04-19,3419.47,Credit Card,Failed
DON00205,D0942,CAMP019,2021-08-19,3145.8,Cash,Refunded
DON00206,D0290,CAMP014,2021-12-17,3056.3,Online,Failed
DON00207,D0407,CAMP019,2024-01-21,1274.38,Cash,Refunded
DON00208,D0213,CAMP012,2023-12-01,3339.33,Credit Card,Completed
DON00209,D0501,CAMP021,2024-01-05,1742.04,Cash,Completed
DON00210,D0481,CAMP014,2024-09-07,3916.2,Online,Failed
DON00211,D0231,CAMP022,2022-12-29,3390.18,Credit Card,Refunded
DON00212,D0562,CAMP010,2022-11-23,3811.42,Credit Card,Refunded
DON00213,D0987,CAMP019,2022-05-29,3204.15,Check,Completed
DON00214,D0920,CAMP003,2020-11-09,2788.87,Credit Card,Completed
DON00215,D0798,CAMP013,2025-04-26,4683.32,Online,Failed
DON00216,D0457,CAMP013,2024-11-16,2587.47,Credit Card,Failed
DON00217,D0931,CAMP005,2022-11-11,229.85,Check,Completed
DON00218,D0599,CAMP001,2021-12-08,3212.31,Check,Refunded
DON00219,D0591,CAMP019,2023-10-04,147.17,Cash,Failed
DON00220,D0861,CAMP024,2023-06-25,1777.62,Online,Failed
DON00221,D0383,CAMP012,2021-11-25,781.56,Cash,Failed
DON00222,D0627,CAMP018,2024-03-25,4122.18,Cash,Completed
DON00223,D0881,CAMP011,2020-10-24,2149.28,Check,Refunded
DON00224,D0986,CAMP021,2021-03-29,1591.5,Check,Failed
DON00225,D0173,CAMP016,2024-05-10,2022.33,Cash,Refunded
DON00226,D0357,CAMP022,2023-05-24,3615.05,Credit Card,Refunded
DON00227,D0358,CAMP022,2023-09-26,4336.04,Credit Card,Refunded
DON00228,D0432,CAMP020,2024-12-08,1296.81,Check,Failed
DON00229,D0168,CAMP021,2023-10-08,229.79,Online,Completed
DON00230,D0504,CAMP004,2022-02-17,3796.89,Online,Failed
DON00231,D0212,CAMP008,2022-07-17,497.81,Check,Refunded
DON00232,D0889,CAMP018,2022-06-30,4611.09,Check,Refunded
DON00233,D0356,CAMP007,2022-09-14,2474.63,Cash,Failed
DON00234,D0714,CAMP025,2022-11-02,2639.77,Online,Refunded
DON00235,D0635,CAMP013,2023-09-14,707.24,Online,Refunded
DON00236,D0341,CAMP019,2024-11-14,1020.54,Check,Failed
DON00237,D0923,CAMP021,2023-09-02,3405.31,Credit Card,Failed
DON00238,D0778,CAMP016,2023-10-26,2913.66,Cash,Failed
DON00239,D0269,CAMP021,2023-09-04,773.59,Online,Completed
DON00240,D0313,CAMP018,2025-01-27,1075.5,Check,Completed
DON00241,D0349,CAMP008,2023-06-23,1507.24,Check,Completed
DON00242,D0662,CAMP017,2024-02-06,992.79,Check,Completed
DON00243,D0914,CAMP024,2022-02-13,2285.22,Cash,Refunded
DON00244,D0700,CAMP002,2024-06-28,3204.9,Check,Failed
DON00245,D0131,CAMP025,2024-06-17,1274.02,Cash,Refunded
DON00246,D0015,CAMP012,2024-05-31,173.59,Cash,Completed
DON00247,D0865,CAMP016,2023-05-26,1520.69,Online,Completed
DON00248,D0621,CAMP009,2023-07-11,1239.88,Credit Card,Refunded
DON00249,D0443,CAMP003,2022-02-14,4751.51,Credit Card,Failed
DON00250,D0286,CAMP022,2021-07-06,1934.48,Cash,Refunded
DON00251,D0409,CAMP010,2022-08-12,4951.72,Cash,Failed
DON00252,D0512,CAMP005,2023-07-29,4826.7,Online,Failed
DON00253,D0415,CAMP007,2020-11-04,4271.71,Check,Refunded
DON00254,D0262,CAMP001,2022-12-15,3039.89,Credit Card,Refunded
DON00255,D0394,CAMP014,2022-03-25,1203.79,Check,Completed
DON00256,D0047,CAMP023,2022-05-07,2692.21,Online,Completed
DON00257,D0882,CAMP014,2022-07-11,827.4,Check,Completed
DON00258,D0354,CAMP008,2022-11-01,3115.68,Check,Failed
DON00259,D0857,CAMP009,2024-01-07,1895.33,Check,Completed
DON00260,D0043,CAMP022,2023-05-03,4064.98,Online,Refunded
DON00261,D0684,CAMP016,2020-10-05,2506.85,Check,Refunded
DON00262,D0446,CAMP011,2024-05-19,2114.7,Check,Failed
DON00263,D0180,CAMP017,2020-11-16,4023.51,Check,Refunded
DON00264,D0563,CAMP002,2022-11-12,1925.52,Online,Failed
DON00265,D0509,CAMP020,2020-06-03,3036.5,Check,Failed
DON00266,D0590,CAMP010,2023-06-28,4898.77,Check,Failed
DON00267,D0935,CAMP025,2023-04-02,3676.45,Credit Card,Refunded
DON00268,D0118,CAMP002,2021-05-02,1392.48,Check,Failed
DON00269,D0970,CAMP019,2022-09-20,3354.58,Check,Failed
DON00270,D0449,CAMP011,2024-08-18,2264.39,Credit Card,Failed
DON00271,D0077,CAMP011,2020-12-19,4447.01,Check,Failed
DON00272,D0248,CAMP005,2023-06-23,731.02,Check,Failed
DON00273,D0077,CAMP012,2025-05-10,1073.43,Check,Failed
DON00274,D0510,CAMP010,2021-05-27,3996.09,Online,Failed
DON00275,D0164,CAMP022,2022-05-25,169.98,Online,Refunded
DON00276,D0577,CAMP021,2020-09-28,3499.56,Check,Refunded
DON00277,D0622,CAMP015,2025-04-26,3534.15,Cash,Completed
DON00278,D0161,CAMP017,2024-09-03,3233.01,Credit Card,Completed
DON00279,D0580,CAMP012,2021-11-11,1201.55,Check,Failed
DON00280,D0846,CAMP007,2023-08-17,2055.78,Online,Failed
DON00281,D0766,CAMP003,2021-05-23,217.31,Check,Failed
DON00282,D0518,CAMP022,2025-01-23,570.8,Credit Card,Failed
DON00283,D0729,CAMP009,2025-05-12,2106.19,Check,Refunded
DON00284,D0106,CAMP007,2022-06-23,4813.48,Check,Completed
DON00285,D0793,CAMP013,2021-07-18,4333.29,Check,Failed
DON00286,D0293,CAMP001,2024-10-24,574.77,Cash,Refunded
DON00287,D0556,CAMP002,2022-07-18,2224.99,Online,Refunded
DON00288,D0545,CAMP009,2022-08-18,3768.61,Cash,Refunded
DON00289,D0335,CAMP015,2023-06-25,1114.82,Credit Card,Failed
DON00290,D0247,CAMP017,2023-12-11,1008.64,Online,Completed
DON00291,D0931,CAMP012,2025-03-26,4690.38,Online,Failed
DON00292,D0695,CAMP003,2023-05-10,3337.67,Credit Card,Failed
DON00293,D0483,CAMP022,2020-09-17,1847.01,Check,Refunded
DON00294,D0278,CAMP020,2021-06-08,2706.59,Check,Refunded
DON00295,D0340,CAMP006,2024-05-31,696.65,Cash,Refunded
DON00296,D0931,CAMP006,2025-01-25,2684.94,Check,Completed
DON00297,D0984,CAMP017,2020-10-17,1362.13,Credit Card,Failed
DON00298,D0401,CAMP022,2021-05-07,1751.81,Online,Completed
DON00299,D0349,CAMP013,2021-12-06,2289.03,Credit Card,Completed
DON00300,D0480,CAMP004,2020-07-27,2118.74,Online,Completed
DON00301,D0265,CAMP017,2021-07-16,4130.17,Online,Refunded
DON00302,D0720,CAMP005,2024-09-29,4223.52,Cash,Refunded
DON00303,D0979,CAMP021,2021-11-19,4936.74,Cash,Completed
DON00304,D0119,CAMP013,2020-06-19,2629.21,Check,Failed
DON00305,D0051,CAMP004,2022-07-10,1465.36,Check,Completed
DON00306,D0981,CAMP007,2024-05-24,58.12,Online,Completed
DON00307,D0957,CAMP023,2024-06-14,4767.6,Credit Card,Refunded
DON00308,D0300,CAMP011,2024-12-21,2002.6,Cash,Refunded
DON00309,D0852,CAMP023,2023-04-09,1030.69,Check,Refunded
DON00310,D0895,CAMP017,2023-09-07,2439.83,Cash,Refunded
DON00311,D0873,CAMP005,2022-08-11,925.87,Check,Refunded
DON00312,D0965,CAMP008,2021-08-22,4016.88,Credit Card,Failed
DON00313,D0898,CAMP025,2024-09-01,472.72,Cash,Failed
DON00314,D0745,CAMP004,2025-05-06,3576.96,Credit Card,Completed
DON00315,D0421,CAMP016,2024-07-02,1509.98,Credit Card,Refunded
DON00316,D0184,CAMP021,2020-07-19,1869.25,Cash,Refunded
DON00317,D0240,CAMP012,2024-12-10,2150.21,Check,Completed
DON00318,D0451,CAMP004,2021-05-05,4580.13,Check,Completed
DON00319,D0079,CAMP014,2022-02-20,4383.3,Check,Failed
DON00320,D0392,CAMP007,2020-06-28,1861.19,Credit Card,Completed
DON00321,D0893,CAMP006,2021-05-16,3782.27,Online,Failed
DON00322,D0676,CAMP014,2022-01-15,3716.29,Credit Card,Completed
DON00323,D0271,CAMP006,2021-02-08,899.81,Check,Refunded
DON00324,D0152,CAMP018,2022-09-13,1509.64,Online,Completed
DON00325,D0238,CAMP004,2021-03-30,451.18,Cash,Completed
DON00326,D0381,CAMP011,2023-12-28,526.64,Credit Card,Completed
DON00327,D0811,CAMP006,2024-01-15,140.65,Credit Card,Failed
DON00328,D0467,CAMP002,2021-05-20,4363.26,Online,Refunded
DON00329,D0462,CAMP024,2021-01-21,1047.08,Online,Completed
DON00330,D0628,CAMP008,2024-06-09,949.8,Check,Refunded
DON00331,D0837,CAMP003,2024-07-20,385.11,Online,Completed
DON00332,D0444,CAMP023,2021-03-29,2950.8,Online,Completed
DON00333,D0782,CAMP001,2022-08-27,3618.96,Cash,Failed
DON00334,D0389,CAMP013,2023-09-21,17.09,Check,Failed
DON00335,D0706,CAMP017,2024-03-28,4596.98,Credit Card,Failed
DON00336,D0987,CAMP013,2022-02-11,2161.66,Credit Card,Failed
DON00337,D0043,CAMP025,2024-08-30,4035.8,Check,Failed
DON00338,D0719,CAMP022,2021-09-27,2055.54,Credit Card,Failed
DON00339,D0904,CAMP023,2024-08-25,3628.72,Check,Failed
DON00340,D0093,CAMP015,2023-05-14,1548.74,Check,Completed
DON00341,D0470,CAMP006,2023-08-26,3972.58,Check,Failed
DON00342,D0206,CAMP018,2021-09-04,1738.58,Cash,Refunded
DON00343,D0979,CAMP013,2024-07-14,2902.85,Credit Card,Failed
DON00344,D0221,CAMP021,2024-03-09,2048.95,Online,Failed
DON00345,D0877,CAMP016,2022-12-08,2025.7,Cash,Refunded
DON00346,D0980,CAMP007,2024-03-12,1515.59,Online,Failed
DON00347,D0086,CAMP003,2023-03-22,3079.31,Cash,Failed
DON00348,D0291,CAMP015,2022-09-20,4591.69,Cash,Completed
DON00349,D0754,CAMP005,2024-11-15,3981.03,Online,Failed
DON00350,D0314,CAMP016,2021-11-04,1876.84,Online,Completed
DON00351,D0634,CAMP007,2021-03-28,4252.33,Check,Completed
DON00352,D0961,CAMP014,2023-01-18,4559.07,Credit Card,Refunded
DON00353,D0908,CAMP020,2022-09-04,3316.18,Online,Failed
DON00354,D0819,CAMP015,2023-06-08,3565.24,Cash,Refunded
DON00355,D0944,CAMP013,2024-03-29,214.26,Credit Card,Failed
DON00356,D0318,CAMP020,2020-07-09,3593.65,Online,Failed
DON00357,D0936,CAMP025,2020-06-11,3238.73,Check,Completed
DON00358,D0956,CAMP001,2024-01-07,2393.11,Check,Completed
DON00359,D0465,CAMP007,2022-07-12,4809.99,Online,Completed
DON00360,D0295,CAMP018,2024-09-11,1927.56,Cash,Completed
DON00361,D0452,CAMP002,2024-12-13,3160.0,Online,Failed
DON00362,D0080,CAMP021,2021-12-26,3374.74,Cash,Refunded
DON00363,D0302,CAMP004,2025-03-17,1534.03,Cash,Refunded
DON00364,D0646,CAMP004,2024-01-21,3361.32,Cash,Failed
DON00365,D0423,CAMP006,2023-09-27,2223.08,Check,Completed
DON00366,D0977,CAMP022,2024-06-28,2494.13,Check,Refunded
DON00367,D0932,CAMP020,2021-08-29,2073.29,Check,Completed
DON00368,D0254,CAMP004,2023-07-07,2675.2,Cash,Refunded
DON00369,D0562,CAMP013,2022-08-22,2281.25,Credit Card,Completed
DON00370,D0752,CAMP016,2024-10-09,2200.2,Check,Refunded
DON00371,D0486,CAMP024,2022-07-03,274.63,Check,Refunded
DON00372,D0415,CAMP011,2024-08-07,260.12,Check,Completed
DON00373,D0625,CAMP017,2022-09-29,1660.11,Cash,Completed
DON00374,D0257,CAMP009,2021-08-28,4924.9,Online,Completed
DON00375,D0070,CAMP023,2023-04-04,2930.97,Credit Card,Failed
DON00376,D0900,CAMP021,2021-03-16,4678.93,Online,Refunded
DON00377,D0721,CAMP016,2025-05-16,4014.52,Cash,Failed
DON00378,D0139,CAMP022,2023-03-03,2009.71,Cash,Completed
DON00379,D0782,CAMP006,2025-02-21,354.55,Credit Card,Completed
DON00380,D0282,CAMP022,2023-01-19,774.0,Credit Card,Completed
DON00381,D0133,CAMP011,2024-10-04,2273.48,Check,Refunded
DON00382,D0572,CAMP003,2023-05-22,2919.49,Cash,Refunded
DON00383,D0593,CAMP024,2021-01-04,191.48,Cash,Completed
DON00384,D0621,CAMP013,2022-05-18,2273.25,Check,Completed
DON00385,D0372,CAMP008,2024-08-11,831.76,Cash,Refunded
DON00386,D0472,CAMP003,2020-11-12,3035.92,Cash,Failed
DON00387,D0220,CAMP012,2020-10-29,2105.39,Credit Card,Refunded
DON00388,D0845,CAMP001,2024-10-06,3597.3,Online,Completed
DON00389,D0537,CAMP005,2022-06-02,4107.34,Cash,Refunded
DON00390,D0608,CAMP001,2020-11-11,4055.05,Cash,Completed
DON00391,D0463,CAMP008,2024-03-13,4585.26,Online,Refunded
DON00392,D0878,CAMP005,2023-07-04,2938.55,Cash,Refunded
DON00393,D0315,CAMP004,2024-06-16,899.09,Credit Card,Failed
DON00394,D0497,CAMP001,2023-11-14,2809.9,Check,Refunded
DON00395,D0499,CAMP004,2024-09-13,3759.62,Cash,Refunded
DON00396,D0673,CAMP015,2024-05-03,3983.08,Credit Card,Failed
DON00397,D0508,CAMP006,2020-07-03,3416.54,Credit Card,Failed
